id_da rua,Id_ponto,metragem,sistema_metrico,logradouro,numero,numero original,data_inicial (DD/MM/AAAA),data_final (DD/MM/AAAA),fonte,autor_da_alimentação,Data
83,83-32,32,n,rua dr. theodoro bayma,20,20,16/01/1936,16/01/1936,"Livro de emplacamento 20, p. 306",Vitoria Martins,09/10/2018
83,83-129,129,s,rua dr. theodoro bayma,129,129,17/01/1936,,"Livro de emplacamento 20, p. 306",Vitoria Martins,09/10/2018
83,83-129,129,n,rua dr. theodoro bayma,2,2,16/01/1936,16/01/1936,"Livro de emplacamento 20, p. 306",Vitoria Martins,09/10/2018
83,83-18,18,s,rua dr. theodoro bayma,18,18,17/01/1936,,"LIvro de emplacamento 20, p. 306",Vitoria Martins,09/10/2018
83,83-18,18,n,rua dr. theodoro bayma,26,26,16/01/1936,16/01/1936,"Livro de emplacamento 20, p. 306",Vitoria Martins,09/10/2018
83,83-119,119,s,rua dr. theodoro bayma,119,119,17/01/1936,,"Livro de emplacamento 20, p. 306",Vitoria Martins,09/10/2018
83,83-119,119,n,rua dr. theodoro bayma,1,1,16/01/1936,16/01/1936,"Livro de emplacamento 20, p. 306",Vitoria Martins,09/10/2018
84,84-23,23,s,rua rego freitas,24,24,25/10/1935,,"Livro de emplacamento 20, p. 126",Vitoria Martins,09/10/2018
84,84-23,23,n,rua rego freitas,2,2,24/10/1935,24/10/1935,"Livro de emplacamento 20, p. 126",Vitoria Martins,09/10/2018
84,84-336,336,s,rua rego freitas,336,336,25/10/1935,,"Livro de emplacamento 20, p. 126",Vitoria Martins,09/10/2018
84,84-336,336,n,rua rego freitas,56,56,24/10/1935,24/10/1935,"Livro de emplacamento 20, p. 126",Vitoria Martins,09/10/2018
84,84-588,588,s,rua rego freitas,588,588,25/10/1935,,"Livro de emplacamento 20, p. 126",Vitoria Martins,09/10/2018
84,84-588,588,n,rua rego freitas,106.1,106-a,24/05/1935,24/05/1935,"Livro de emplacamento 20, p. 126",Vitoria Martins,09/10/2018
84,84-30,30,s,rua rego freitas,31,31,25/10/1935,,"Livro de emplacamento 20, p.125",Vitoria Martins,09/10/2018
84,84-30,30,n,rua rego freitas,1,1s,24/05/1935,24/05/1935,"Livro de emplacamento 20, p. 125",Vitoria Martins,09/10/2018
84,84-343,343,s,rua rego freitas,343,343,25/10/1935,,"Livro de emplacamento 20, p. 125",Vitoria Martins,09/10/2018
84,84-343,343,n,rua rego freitas,43,43,24/05/1935,24/05/1935,"Livro de emplacamento 20, p. 125",Vitoria Martins,09/10/2018
84,84-553,553,s,rua rego freitas,553,553,25/10/1935,,"Livro de emplacamento 20, p. 125",Vitoria Martins,09/10/2018
84,84-553,553,n,rua rego freitas,79,79,24/05/1935,24/05/1935,"Livro de emplacamento 20, p. 125",Vitoria Martins,09/10/2018
85,85-31,31,s,rua amaral gurgel,31,31,09/10/1935,,"Livro de emplacamento 20, p. 95",Vitoria Martins,09/10/2018
85,85-31,31,n,rua amaral gurgel,2,2,08/10/1935,08/10/1935,"Livro de emplacamento 20, p. 95",Vitoria Martins,09/10/2018
85,85-337,337,s,rua amaral gurgel,338,338,09/10/1935,,"Livro de emplacamento 20, p. 95",Vitoria Martins,09/10/2018
85,85-337,337,n,rua amaral gurgel,60,60,08/10/1935,08/10/1935,"Livro de emplacamento 20, p. 95",Vitoria Martins,09/10/2018
85,85-640,640,s,rua amaral gurgel,640,640,09/10/1935,,"Livro de emplacamento 20, p. 96",Vitoria Martins,09/10/2018
85,85-640,640,n,rua amaral gurgel,124,124,08/10/1935,08/10/1935,"Livro de emplacamento 20, p. 96",Vitoria Martins,09/10/2018
85,85-28,28,s,rua amaral gurgel,29,29,09/10/1935,,"Livro de emplacamento 20, p. 94",Vitoria Martins,09/10/2018
85,85-28,28,n,rua amaral gurgel,1,1,08/10/1935,08/10/1935,"Livro de emplacamento 20, p. 94",Vitoria Martins,09/10/2018
85,85-28,28,n,rua amaral gurgel,1,1a,20/05/1929,08/10/1935,"Livro de emplacamento 15, p. 46",Vitoria Martins,09/10/2018
85,85-569,569,s,rua amaral gurgel,569,569,09/10/1935,,"Livro de emplacamento 20, p. 94",Vitoria Martins,09/10/2018
85,85-569,569,n,rua amaral gurgel,565,565,08/10/1935,08/10/1935,"Livro de emplacamento 20, p. 94",Vitoria Martins,09/10/2018
86,86-33,33,s,rua bento freitas,33,33,09/10/1935,,"Livro de emplacamento 20, p. 92",Vitoria Martins,09/10/2018
86,86-33,33,n,rua bento freitas,1,1,08/10/1935,08/10/1935,"Livro de emplacamento 20, p. 92",Vitoria Martins,09/10/2018
86,86-303,303,s,rua bento freitas,303,303,09/10/1935,,"Livro de emplacamento 20, p. 92",Vitoria Martins,09/10/2018
86,86-303,303,n,rua bento freitas,37,37,08/10/1935,08/10/1935,"Livro de emplacamento 20, p. 92",Vitoria Martins,09/10/2018
86,86-441,441,s,rua bento freitas,441,441,09/10/1935,,"Livro de emplacamento 20, p. 92",Vitoria Martins,09/10/2018
86,86-383,383,s,rua bento freitas,383,383,09/10/1935,,"Livro de emplacamento 20, p. 92",Vitoria Martins,09/10/2018
86,86-383,383,n,rua bento freitas,49,49,08/10/1935,08/10/1935,"Livro de emplacamento 20, p. 92",Vitoria Martins,09/10/2018
86,86-10,10,s,rua bento freitas,10,10,09/10/1935,,"Livro de emplacamento 20, p. 92",Vitoria Martins,09/10/2018
86,86-10,10,n,rua bento freitas,2,2,08/10/1935,08/10/1935,"Livro de emplacamento 20, p. 93",Vitoria Martins,09/10/2018
86,86-304,304,s,rua bento freitas,304,304,09/10/1935,,"Livro de emplacamento 20, p. 93",Vitoria Martins,09/10/2018
86,86-304,304,n,rua bento freitas,58,58,08/10/1935,08/10/1935,"Livro de emplacamento 20, p. 93",Vitoria Martins,09/10/2018
86,86-442,442,s,rua bento freitas,442,442,09/10/1935,,"Livro de emplacamento 20, p. 93",Vitoria Martins,09/10/2018
86,86-442,442,n,rua bento freitas,76,76,08/10/1935,08/10/1935,"Livro de emplacamento 20, p. 93",Vitoria Martins,09/10/2018
22,22-39,39,s,rua libero badaro,39,39,25/09/1936,,"livro de emplacamento, 21, p.296",Luanna,08/10/2018
22,22-73,73,s,rua libero badaro,73,73,25/09/1936,,"livro de emplacamento, 21, p.296",Luanna,08/10/2018
22,22-73,73,n,rua libero badaro,52,52s,28/04/1928,24/09/1936,"livro de emplacamento, 13, p.194; livro de emplacamento 21, p. 296",Luanna,08/10/2018
23,23-255,255,s,viaducto santa ephigenia,255,255,14/03/1941,,"livro de emplacamento 28, p. 118",Luanna,08/10/2018
23,23-255,255,n,viaducto santa ephigenia,1.1,1a,13/03/1941,13/03/1941,"livro de emplacamento 28, p. 118",Luanna,08/10/2018
23,23-277,277,s,viaducto santa ephigenia,277,277,14/03/1941,,"livro de emplacamento 28, p. 118",Luanna,08/10/2018
23,23-277,277,n,viaducto santa ephigenia,5,5,13/03/1941,13/03/1941,"livro de emplacamento 28, p. 118",Luanna,08/10/2018
23,23-303,303,s,viaducto santa ephigenia,303,303,14/03/1941,,"livro de emplacamento 28, p. 118",Luanna,08/10/2018
23,23-303,303,n,viaducto santa ephigenia,15,,13/03/1941,13/03/1941,"livro de emplacamento 28, p. 118",Luanna,08/10/2018
27,27-23,23,s,ladeira da constituicao,23,23,13/9/1937,,"livro de emplacamento 22, p. 399",Luanna,08/10/2018
27,27-23,23,n,ladeira da constituicao,1,1,12/09/1937,12/09/1937,"livro de emplacamento 22, p. 399",Luanna,08/10/2018
27,27-69,69,s,ladeira da constituicao,69,69,13/9/1937,,"livro de emplacamento 22, p. 399",Luanna,08/10/2018
27,27-28,28,s,ladeira da constituicao,28,28,13/9/1937,,"livro de emplacamento 22, p. 399",Luanna,08/10/2018
27,27-28,28,n,ladeira da constituicao,2,2,12/09/1937,12/09/1937,"livro de emplacamento 22, p. 399",Luanna,08/10/2018
27,27-74,74,s,ladeira da constituicao,74,74,13/9/1937,,"livro de emplacamento 22, p. 399",Luanna,08/10/2018
27,27-74,74,n,ladeira da constituicao,8,8,12/09/1937,12/09/1937,"livro de emplacamento 22, p. 399",Luanna,08/10/2018
78,78-392,392,s,Rua Araujo,392,1/26/1901,15/05/1936,,"Livro de Emplacamento, n.21, p.122",Cintia,8/10/2018
78,78-392,392,n,Rua Araujo,1,1,19/09/1908,14/05/1936,"Livro de Emplacamento, n.21, p.122; Livro de Emplacamento, n.17, p.67; Livro de Emplacamento, n.1, p.2",Cintia,8/10/2018
78,78-73,73,s,Rua Araujo,73,73,15/05/1936,,"Livro de Emplacamento, n.21, p.121",Cintia,8/10/2018
78,78-73,73,n,Rua Araujo,60,02/28/1900,18/09/1908,18/09/1908,"Livro de Emplacamento, n.21, p.121; Livro de Emplacamento, n.17, p.67; Livro de Emplacamento, n.1, p.2",Cintia,8/10/2018
78,78-281,281,s,Rua Araujo,281,281,15/05/1936,,"Livro de Emplacamento, n.21, p.121",Cintia,8/10/2018
78,78-281,281,n,Rua Araujo,10,10,19/09/1908,14/05/1936,"Livro de Emplacamento, n.21, p.122; Livro de Emplacamento, n.17, p.67; Livro de Emplacamento, n.1, p.2",Cintia,8/10/2018
78,78-399,399,s,Rua Araujo,399,399,15/05/1936,,"Livro de Emplacamento, n.21, p.121",Cintia,8/10/2018
78,78-399,399,n,Rua Araujo,2,2,19/09/1908,14/05/1936,"Livro de Emplacamento, n.21, p.122; Livro de Emplacamento, n.17, p.67; Livro de Emplacamento, n.1, p.2",Cintia,8/10/2018
16,16-121,121,s,Rua Alvares Penteado,121,121,13/09/1939,,"Livro de Emplacamento, n.26, p.199,; n.13,p.31; n.1, p.44",Cintia,8/10/2018
16,16-121,121,n,Rua Alvares Penteado,17,17,16/07/1928,12/08/1939,"Livro de Emplacamento, n.26, p.199,; n.13,p.31; n.1, p.44",Cintia,8/10/2018
16,16-221,221,s,Rua Alvares Penteado,221,221,13/09/1939,,"Livro de Emplacamento, n.26, p.199,; n.13,p.31; n.1, p.44",Cintia,8/10/2018
16,16-221,221,n,Rua Alvares Penteado,31.1,31A,16/07/1928,12/08/1939,"Livro de Emplacamento, n.26, p.199,; n.13,p.31; n.1, p.44",Cintia,8/10/2018
16,16-221,221,n,Rua Alvares Penteado,43,43 E/T,21/06/1912,15/07/1928,"Livro de Emplacamento, n.26, p.199,; n.13,p.31; n.1, p.44",Cintia,8/10/2018
16,16-18,18,s,Rua Alvares Penteado,18,18,13/09/1939,,"Livro de Emplacamento, n.26, p.199,; n.13,p.31; n.1, p.44",Cintia,8/10/2018
16,16-18,18,n,Rua Alvares Penteado,"2.4",2B,16/07/1928,12/08/1939,"Livro de Emplacamento, n.26, p.199,; n.13,p.31; n.1, p.44",Cintia,8/10/2018
16,16-18,18,n,Rua Alvares Penteado,"8.1",8A E/T,15/07/1928,15/07/1928,"Livro de Emplacamento, n.26, p.199,; n.13,p.31; n.1, p.44",Cintia,8/10/2018
16,16-112,112,s,Rua Alvares Penteado,112,112,13/09/1939,,"Livro de Emplacamento, n.26, p.199,; n.13,p.31; n.1, p.44",Cintia,8/10/2018
16,16-112,112,n,Rua Alvares Penteado,12,12,16/07/1928,12/08/1939,"Livro de Emplacamento, n.26, p.199,; n.13,p.31; n.1, p.44",Cintia,8/10/2018
16,16-218,218,s,Rua Alvares Penteado,218,218,13/09/1939,,"Livro de Emplacamento, n.26, p.199,; n.13,p.31; n.1, p.44",Cintia,8/10/2018
16,16-218,218,n,Rua Alvares Penteado,26,26 sob,16/07/1928,12/08/1939,"Livro de Emplacamento, n.26, p.199,; n.13,p.31; n.1, p.44",Cintia,8/10/2018
16,16-218,218,n,Rua Alvares Penteado,44,44 E/S,15/07/1928,15/07/1928,"Livro de Emplacamento, n.26, p.199,; n.13,p.31; n.1, p.44",Cintia,8/10/2018
17,17-19,19,s,Rua do Comercio,19,19,06/11/1936,,"Livro de Emplacamento n.21, p.343; n.13,p.85; n.3, p.30",Cintia,8/10/2018
17,17-19,19,n,Rua do Comercio,1,1 E/T Tinta,15/06/1928,15/06/1928,"Livro de Emplacamento n.21, p.343; n.13,p.85; n.3, p.30",Cintia,8/10/2018
17,17-39,39,s,Rua do Comercio,39,39,06/11/1936,,"Livro de Emplacamento n.21, p.343; n.13,p.85; n.3, p.30",Cintia,8/10/2018
17,17-39,39,n,Rua do Comercio,9,9 E/S,15/06/1928,15/06/1928,"Livro de Emplacamento n.21, p.343; n.13,p.85; n.3, p.30",Cintia,8/10/2018
17,17-14,14,s,Rua do Comercio,14,14,06/11/1936,,"Livro de Emplacamento n.21, p.343; n.13,p.85; n.3, p.30",Cintia,8/10/2018
17,17-14,14,n,Rua do Comercio,2,2 E/T,15/06/1928,15/06/1928,"Livro de Emplacamento n.21, p.343; n.13,p.85; n.3, p.30",Cintia,8/10/2018
17,17-58,58,s,Rua do Comercio,58,58,06/11/1936,,"Livro de Emplacamento n.21, p.343; n.13,p.85; n.3, p.30",Cintia,8/10/2018
17,17-58,58,n,Rua do Comercio,10,10 E/T,15/06/1928,15/06/1928,"Livro de Emplacamento n.21, p.343; n.13,p.85; n.3, p.30",Cintia,8/10/2018
19,19-63,63,s,Rua da Quitanda,63,63,02/01/1935,,"Livro de Emplacamento, n.19, p.222; n.14, p.57",Cintia,8/10/2018
19,19-63,63,n,Rua da Quitanda,1,1 E/T,21/06/1928,21/06/1928,"Livro de Emplacamento, n.19, p.222; n.14, p.57",Cintia,8/10/2018
19,19-113,113,s,Rua da Quitanda,113,113,02/01/1935,,"Livro de Emplacamento, n.19, p.222; n.14, p.57",Cintia,8/10/2018
19,19-113,113,n,Rua da Quitanda,13,13 E/S,21/06/1928,21/06/1928,"Livro de Emplacamento, n.19, p.222; n.14, p.57",Cintia,8/10/2018
